_name=Carrier
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
_carrierFreq_Hz =1000
# xR, xI
0.869958,0.493126
-0.870014,-0.493028
0.870009,0.493035
-0.870005,-0.493043
0.870061,0.492945
-0.870056,-0.492953
0.870112,0.492854
-0.870108,-0.492862
0.870103,0.49287
-0.870159,-0.492771
0.870155,0.492779
-0.87021,-0.49268
0.870206,0.492688
-0.870202,-0.492696
0.870257,0.492597
-0.870253,-0.492605
0.870309,0.492507
-0.870304,-0.492514
0.8703,0.492522
-0.870356,-0.492424
0.870351,0.492431
-0.870407,-0.492333
0.870403,0.492341
-0.870398,-0.492348
0.870454,0.49225
-0.870449,-0.492258
0.870505,0.492159
-0.870501,-0.492167
0.870496,0.492175
-0.870492,-0.492183
0.870488,0.49219
-0.870543,-0.492092
0.870539,0.4921
-0.870595,-0.492001
0.87059,0.492009
-0.870586,-0.492017
0.870642,0.491918
-0.870637,-0.491926
0.870693,0.491827
-0.870688,-0.491835
0.870684,0.491843
-0.87074,-0.491744
0.870735,0.491752
-0.870791,-0.491653
0.870787,0.491661
-0.870782,-0.491669
0.870838,0.49157
-0.870833,-0.491578
0.870889,0.49148
-0.870885,-0.491487
0.87094,0.491389
-0.870936,-0.491397
0.870932,0.491404
-0.870987,-0.491306
0.870983,0.491314
-0.871038,-0.491215
0.871034,0.491223
-0.87103,-0.49123
0.871085,0.491132
-0.871081,-0.49114
0.871136,0.491041
-0.871132,-0.491049
0.871128,0.491057
-0.871183,-0.490958
0.871179,0.490966
-0.871234,-0.490867
0.87123,0.490875
-0.871226,-0.490883
0.871281,0.490784
-0.871277,-0.490792
0.871332,0.490693
-0.871328,-0.490701
0.871324,0.490709
-0.871379,-0.49061
0.871375,0.490618
-0.87143,-0.490519
0.871426,0.490527
-0.871422,-0.490535
0.871477,0.490436
-0.871473,-0.490444
0.871528,0.490345
-0.871524,-0.490353
0.871519,0.490361
-0.871575,-0.490262
0.871571,0.49027
-0.871626,-0.490171
0.871622,0.490179
-0.871617,-0.490187
0.871673,0.490088
-0.871668,-0.490096
0.871724,0.489998
-0.871719,-0.490005
0.871715,0.490013
-0.871771,-0.489914
0.871766,0.489922
-0.871822,-0.489823
0.871817,0.489831
-0.871813,-0.489839
0.871868,0.48974
-0.871864,-0.489748
0.871919,0.489649
-0.871915,-0.489657
0.871911,0.489665
-0.871966,-0.489566
0.871962,0.489574
-0.872017,-0.489475
0.872013,0.489483
-0.872008,-0.489491
0.872064,0.489392
-0.872059,-0.4894
0.872115,0.489301
-0.87211,-0.489309
0.872166,0.48921
-0.872161,-0.489218
0.872157,0.489226
-0.872212,-0.489127
0.872208,0.489135
-0.872263,-0.489036
0.872259,0.489044
-0.872255,-0.489052
0.87231,0.488953
-0.872306,-0.488961
0.872361,0.488862
-0.872357,-0.48887
0.872352,0.488878
-0.872408,-0.488779
0.872403,0.488787
-0.872459,-0.488688
0.872454,0.488696
-0.87245,-0.488704
0.872505,0.488605
-0.872501,-0.488613
0.872556,0.488514
-0.872552,-0.488522
0.872547,0.48853
-0.872603,-0.488431
0.872598,0.488439
-0.872654,-0.48834
0.872649,0.488348
-0.872645,-0.488355
0.8727,0.488257
-0.872696,-0.488264
0.872751,0.488166
-0.872747,-0.488173
0.872742,0.488181
-0.872798,-0.488082
0.872793,0.48809
-0.872848,-0.487991
0.872844,0.487999
-0.87284,-0.488007
0.872895,0.487908
-0.872891,-0.487916
0.872946,0.487817
-0.872941,-0.487825
0.872937,0.487833
-0.872992,-0.487734
0.872988,0.487742
-0.873043,-0.487643
0.873039,0.487651
-0.873034,-0.487659
0.87309,0.48756
-0.873085,-0.487567
0.87314,0.487469
-0.873136,-0.487476
0.873132,0.487484
-0.873187,-0.487385
0.873183,0.487393
-0.873238,-0.487294
0.873233,0.487302
-0.873289,-0.487203
0.873284,0.487211
-0.87328,-0.487219
0.873335,0.48712
-0.873331,-0.487128
0.873386,0.487029
-0.873381,-0.487037
0.873377,0.487045
-0.873432,-0.486946
0.873428,0.486954
-0.873483,-0.486855
0.87336,0.487076
-0.873474,-0.48687
0.87347,0.486878
-0.873466,-0.486886
0.873461,0.486894
-0.873457,-0.486901
0.873571,0.486696
-0.873567,-0.486704
0.873563,0.486711
-0.873558,-0.486719
0.873554,0.486727
-0.873669,-0.486522
0.873664,0.486529
-0.87366,-0.486537
0.873656,0.486545
-0.873651,-0.486553
0.873766,0.486347
-0.873761,-0.486355
0.873757,0.486363
-0.873753,-0.486371
0.873867,0.486165
-0.873863,-0.486173
0.873858,0.486181
-0.873854,-0.486188
0.87385,0.486196
-0.873964,-0.485991
0.87396,0.485998
-0.873955,-0.486006
0.873951,0.486014
-0.873947,-0.486022
0.874061,0.485816
-0.874057,-0.485824
0.874052,0.485832
-0.874048,-0.485839
0.874044,0.485847
-0.874158,-0.485642
0.874154,0.485649
-0.874149,-0.485657
0.874145,0.485665
-0.874141,-0.485673
0.874255,0.485467
-0.874251,-0.485475
0.874246,0.485483
-0.874242,-0.48549
0.874238,0.485498
-0.874352,-0.485293
0.874348,0.4853
-0.874343,-0.485308
0.874339,0.485316
-0.874335,-0.485324
0.874449,0.485118
-0.874444,-0.485126
0.87444,0.485134
-0.874436,-0.485141
0.874431,0.485149
-0.874545,-0.484944
0.874541,0.484951
-0.874537,-0.484959
0.874533,0.484967
-0.874528,-0.484975
0.874642,0.484769
-0.874638,-0.484777
0.874634,0.484785
-0.874629,-0.484792
0.874625,0.4848
-0.874739,-0.484594
0.874735,0.484602
-0.87473,-0.48461
0.874726,0.484618
-0.874722,-0.484626
0.874836,0.48442
-0.874831,-0.484428
0.874827,0.484435
-0.874823,-0.484443
0.874818,0.484451
-0.874932,-0.484245
0.874928,0.484253
-0.874924,-0.484261
0.874919,0.484269
-0.874915,-0.484276
0.875029,0.484071
-0.875025,-0.484078
0.87502,0.484086
-0.875016,-0.484094
0.875012,0.484102
-0.875126,-0.483896
