_name=mixed
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
basebandTimeDuration_sec=1
basebandSamplingFreq_Hz=100
basebandSamplePts=100
basebandFreqRng_Hz=[10, 50]
carrierFreq_Hz=1000
carrierSamplePts=2000
carrierFreqRng_Hz=[500, 2000]
isTimeDomainSln=1

# xR, xI
-0.0204942,-0.0601353
0.02794,0.0484885
-0.0353236,-0.0405096
0.0423934,0.035444
-0.0499288,-0.0222557
0.0550294,0.0245298
-0.0589887,-0.0262954
0.0614952,0.0274133
-0.0623555,-0.0277975
0.0614947,0.0274144
-0.0589878,-0.0262975
0.0550281,0.0245328
-0.0499272,-0.0222592
0.0173126,0.0493185
0.00221164,-0.0612716
-0.0266775,0.0786969
0.0568029,-0.102885
-0.0932651,0.134955
0.136408,-0.175513
-0.186225,0.224655
0.242051,-0.281635
-0.302536,0.344876
0.365458,-0.411769
-0.427814,0.478818
0.487894,-0.541196
-0.537743,0.59648
0.576442,-0.639395
-0.600944,0.66656
0.609359,-0.675882
-0.600956,0.666549
0.576465,-0.639374
-0.537775,0.596452
0.4879,-0.541191
-0.452491,0.439554
0.402386,-0.353008
-0.356264,0.259378
0.318081,-0.160638
-0.290903,0.058057
0.27653,0.0475042
-0.275682,-0.155389
0.287748,0.264712
-0.311094,-0.374023
0.342906,0.481042
-0.379603,-0.582501
0.399834,0.693699
-0.440675,-0.764571
0.472376,0.81959
-0.492442,-0.854423
0.499325,0.866383
-0.492427,-0.854431
0.472347,0.819607
-0.440634,-0.764595
0.399785,0.693727
-0.343613,-0.614146
0.289069,0.528387
-0.232783,-0.442899
0.176945,0.362176
-0.123137,-0.289577
0.0723557,0.227125
-0.0250969,-0.175791
-0.0184416,0.135431
0.0581783,-0.10525
-0.0940675,0.0837808
0.125891,-0.0693245
-0.167494,0.035454
0.184605,-0.0390744
-0.197889,0.0418842
0.206298,-0.0436622
-0.209185,0.0442713
0.206299,-0.0436585
-0.19789,0.0418772
0.184607,-0.0390645
-0.167496,0.0354421
0.149488,-0.047079
-0.129381,0.0504949
0.109562,-0.0568226
-0.0911635,0.0668999
0.0750376,-0.0814347
-0.0616961,0.100817
0.051373,-0.125131
-0.0440054,0.153976
0.0393384,-0.18649
-0.036913,0.221237
0.0361633,-0.256309
-0.0305754,0.28824
0.0337019,-0.317687
-0.0361299,0.340545
0.0376684,-0.355016
-0.0381987,0.359984
0.0376747,-0.355016
-0.0361421,0.340544
0.0337189,-0.317685
-0.030596,0.288238
0.0242659,-0.255585
-0.0190836,0.220158
0.0133918,-0.18492
-0.00727972,0.151754
0.000798974,-0.122071
0.00601222,0.0967213
-0.0131226,-0.0761019
0.0204606,0.0601464
-0.0279142,-0.0485029
0.0353019,0.0405278
-0.0423764,-0.0354633
0.0499193,0.0222754
-0.0550203,-0.0245482
0.0589807,0.0263115
-0.0614868,-0.0274301
0.0623486,0.0278107
-0.0614896,-0.0274237
0.0589845,0.0263028
-0.0550265,-0.0245343
0.0499258,0.0222607
-0.0173133,-0.0493177
-0.00220681,0.0612716
0.0266663,-0.0787006
-0.0567818,0.102897
0.0932372,-0.134975
-0.136361,0.175549
0.186151,-0.224716
-0.241941,0.281729
0.30238,-0.345013
-0.365271,0.411934
0.427568,-0.479038
-0.487583,0.541476
0.537364,-0.596822
-0.575996,0.639796
0.600438,-0.667015
-0.608846,0.676343
0.60041,-0.667041
-0.575902,0.639881
0.537214,-0.596957
-0.48739,0.54165
0.452077,-0.439979
-0.402032,0.353411
0.355988,-0.259756
-0.317901,0.160995
0.290834,-0.0584015
-0.276585,-0.0471767
0.275875,0.155046
-0.288094,-0.264336
0.311605,0.373597
-0.343593,-0.480552
0.380434,0.581959
-0.400866,-0.693103
0.441859,0.763887
-0.473696,-0.818828
0.49387,0.853598
-0.500773,-0.865547
0.493906,0.853577
-0.473816,-0.818758
0.442051,0.763776
-0.401113,-0.69296
0.344789,0.613487
-0.290113,-0.527815
0.233685,0.442424
-0.177705,-0.361804
0.123763,0.28931
-0.0728464,-0.226968
0.0254769,0.175736
0.0181403,-0.135471
-0.0579374,0.105382
0.0938704,-0.0840007
-0.125724,0.0696266
0.167407,-0.0358562
-0.184507,0.0395289
0.197781,-0.0423835
-0.206184,0.0441953
0.209067,-0.0448246
-0.206182,0.0442042
0.197775,-0.0424127
-0.184497,0.0395753
0.167394,-0.0359158
-0.14935,0.0475108
0.12923,-0.0508765
-0.109386,0.0571591
0.0909571,-0.0671797
-0.0747867,0.0816649
0.0613734,-0.101014
-0.0509727,0.125294
0.0434943,-0.154122
-0.0387195,0.186619
0.036179,-0.221358
-0.0352972,0.256429
0.0296016,-0.288342
-0.0325898,0.317803
0.0349378,-0.34067
-0.0364257,0.355146
0.0368946,-0.36012
-0.0363886,0.35515
0.0348668,-0.340677
-0.0325292,0.317809
0.0295166,-0.288351
-0.0232775,0.255677
0.0182321,-0.22023
-0.012654,0.184972
0.00667416,-0.151782
-0.000311736,0.122074
-0.00641022,-0.0966961
0.0134313,0.0760485
-0.0207085,-0.0600623
0.0281114,0.04839
-0.0354719,-0.0403808
0.0425233,0.0352895
-0.0500107,-0.0220739
0.0551226,0.0243227
-0.0590886,-0.0260734
0.0616027,0.0271744
-0.0624644,-0.0275552
0.0616022,0.0271755
-0.0590941,-0.026061
0.0551272,0.0243122
-0.0500199,-0.022053
0.0175172,0.0492468
0.00195759,-0.0612806
-0.0263418,0.0788101
0.0563641,-0.103126
-0.0926731,0.135363
0.135638,-0.176109
-0.18524,0.225468
0.240782,-0.282722
-0.300981,0.346235
0.363551,-0.413455
-0.425597,0.480791
0.485388,-0.543446
-0.534908,0.599026
0.573403,-0.642123
-0.597694,0.669478
0.606063,-0.678841
-0.597706,0.669467
0.573269,-0.642243
-0.534794,0.599128
0.485162,-0.543649
-0.450266,0.441834
0.400599,-0.355036
-0.354918,0.261218
0.317247,-0.162281
-0.290592,0.0595966
0.276777,0.0460392
-0.2765,-0.153927
0.289177,0.26315
-0.313114,-0.372332
0.345564,0.479136
-0.382822,-0.58039
0.403668,0.691473
-0.444993,-0.762064
0.477005,0.816903
-0.497372,-0.851561
0.504324,0.863481
-0.497357,-0.851569
0.477176,0.816803
-0.445139,-0.76198
0.403957,0.691305
-0.347306,-0.612064
0.292247,0.526635
-0.235501,-0.441459
0.179168,0.361081
-0.124951,-0.288799
0.0737649,0.226671
-0.0262101,-0.175628
-0.0175827,0.135544
0.0575093,-0.105616
-0.0935231,0.0843853
0.125439,-0.0701345
-0.167254,0.0365535
0.184341,-0.0402862
-0.197606,0.0431832
0.205998,-0.0450416
-0.208881,0.04567
0.205993,-0.0450631
-0.197597,0.0432245
0.184334,-0.0403214
-0.167243,0.0366029
0.149155,-0.0481146
-0.129019,0.0514067
0.109156,-0.0575945
-0.0906875,0.0675416
0.0744497,-0.0819714
-0.0609696,0.101257
0.050457,-0.125503
-0.0428792,0.154294
0.037975,-0.186772
-0.035269,0.221505
0.0342745,-0.256568
-0.0284166,0.288461
